ls6500: Output directed to terminal and Log/Pre-irrad_3_141029_201411051631_462407.log
initialize ls6500
dataDir /Users/djaffe/work/GIT/LINDSEY/TechMaturation2014/LS6500/Pre-irrad_3_141029/ 
dataSubDir Pre-irrad_3_141029/
initialize spreadsheetReader
ls6500.Main: pickMode put
ls6500.processHeader: Found 192 total samples
ls6500.matchVialMeas: remove summary file MeasurementNo00187.xls from list
            Position          Sample Measurements
      S14_Position01           EMPTY ['Pre-irrad_3_141029/MeasurementNo00157.xls']
      S14_Position02       1000_1F37 ['Pre-irrad_3_141029/MeasurementNo00158.xls']
      S14_Position03       1000_2F37 ['Pre-irrad_3_141029/MeasurementNo00159.xls']
      S14_Position04           EMPTY ['Pre-irrad_3_141029/MeasurementNo00160.xls']
      S14_Position05       1000_3F37 ['Pre-irrad_3_141029/MeasurementNo00161.xls']
      S14_Position06       1000_4F37 ['Pre-irrad_3_141029/MeasurementNo00162.xls']
      S14_Position07       0050_1R16 ['Pre-irrad_3_141029/MeasurementNo00163.xls']
      S14_Position08       0052_1R17 ['Pre-irrad_3_141029/MeasurementNo00164.xls']
      S14_Position09       0050_2R16 ['Pre-irrad_3_141029/MeasurementNo00165.xls']
      S14_Position10       0052_2R17 ['Pre-irrad_3_141029/MeasurementNo00166.xls']
      S14_Position11       0050_3R16 ['Pre-irrad_3_141029/MeasurementNo00167.xls']
      S14_Position12       0052_3R17 ['Pre-irrad_3_141029/MeasurementNo00168.xls']
      S15_Position01           EMPTY ['Pre-irrad_3_141029/MeasurementNo00169.xls']
      S15_Position02       0050_4R16 ['Pre-irrad_3_141029/MeasurementNo00170.xls']
      S15_Position03       0052_4R17 ['Pre-irrad_3_141029/MeasurementNo00171.xls']
      S15_Position04       0100_1R27 ['Pre-irrad_3_141029/MeasurementNo00172.xls']
      S15_Position05           EMPTY ['Pre-irrad_3_141029/MeasurementNo00173.xls']
      S15_Position06       0100_2R27 ['Pre-irrad_3_141029/MeasurementNo00174.xls']
      S15_Position07       0100_3R27 ['Pre-irrad_3_141029/MeasurementNo00175.xls']
      S15_Position08       0100_4R27 ['Pre-irrad_3_141029/MeasurementNo00176.xls']
      S15_Position09       1000_1R37 ['Pre-irrad_3_141029/MeasurementNo00177.xls']
      S15_Position10       1000_2R37 ['Pre-irrad_3_141029/MeasurementNo00178.xls']
      S15_Position11       1000_3R37 ['Pre-irrad_3_141029/MeasurementNo00179.xls']
      S15_Position12       1000_4R37 ['Pre-irrad_3_141029/MeasurementNo00180.xls']
       R1_Position01       0050_REF1 ['Pre-irrad_3_141029/MeasurementNo00181.xls']
       R1_Position02       0052_REF1 ['Pre-irrad_3_141029/MeasurementNo00182.xls']
       R1_Position03       0100_REF1 ['Pre-irrad_3_141029/MeasurementNo00183.xls']
       R1_Position04       0102_REF1 ['Pre-irrad_3_141029/MeasurementNo00184.xls']
       R1_Position05       0140_REF1 ['Pre-irrad_3_141029/MeasurementNo00185.xls']
       R1_Position06       0142_REF1 ['Pre-irrad_3_141029/MeasurementNo00186.xls']
