ls6500: Output directed to terminal and Log/Pre-irrad_5_141031_201411051643_226973.log
Created Figures/Pre-irrad_5_141031/
initialize ls6500
dataDir /Users/djaffe/work/GIT/LINDSEY/TechMaturation2014/LS6500/Pre-irrad_5_141031/ 
dataSubDir Pre-irrad_5_141031/
initialize spreadsheetReader
ls6500.Main: pickMode put
ls6500.processHeader: columnIDs ['TrayID', 'Position01', 'Position02', 'Position03', 'Position04', 'Position05', 'Position06', 'Position07', 'Position08', 'Position09', 'Position10', 'Position11', 'Position12']
vial#   sampleName     position check of sample name Number of `no vial` slots to this slot
    0      STD_3_H S1_Position01 STD_3_H 0
       S4_Position09       0100_1R15 ['Pre-irrad_5_141031/MeasurementNo00045.xls', 'Pre-irrad_5_141031/MeasurementNo00238.xls']
       S4_Position10       0102_1R25 ['Pre-irrad_5_141031/MeasurementNo00046.xls', 'Pre-irrad_5_141031/MeasurementNo00239.xls']
       S4_Position11       0100_2R15 ['Pre-irrad_5_141031/MeasurementNo00047.xls', 'Pre-irrad_5_141031/MeasurementNo00240.xls']
       S4_Position12       0102_2R25 ['Pre-irrad_5_141031/MeasurementNo00048.xls', 'Pre-irrad_5_141031/MeasurementNo00241.xls']
       S5_Position01       0100_3R15 ['Pre-irrad_5_141031/MeasurementNo00049.xls', 'Pre-irrad_5_141031/MeasurementNo00242.xls']
       S5_Position02       0102_3R25 ['Pre-irrad_5_141031/MeasurementNo00050.xls', 'Pre-irrad_5_141031/MeasurementNo00243.xls']
       S5_Position03       0100_4R15 ['Pre-irrad_5_141031/MeasurementNo00051.xls', 'Pre-irrad_5_141031/MeasurementNo00244.xls']
       S5_Position04       0102_4R25 ['Pre-irrad_5_141031/MeasurementNo00052.xls', 'Pre-irrad_5_141031/MeasurementNo00245.xls']
       S5_Position05           EMPTY ['Pre-irrad_5_141031/MeasurementNo00053.xls', 'Pre-irrad_5_141031/MeasurementNo00246.xls']
       S5_Position06       0140_1R23 ['Pre-irrad_5_141031/MeasurementNo00054.xls', 'Pre-irrad_5_141031/MeasurementNo00247.xls']
       S5_Position07       0142_1R33 ['Pre-irrad_5_141031/MeasurementNo00055.xls', 'Pre-irrad_5_141031/MeasurementNo00248.xls']
       S5_Position08       0140_2R23 ['Pre-irrad_5_141031/MeasurementNo00056.xls', 'Pre-irrad_5_141031/MeasurementNo00249.xls']
       S5_Position09       0142_2R33 ['Pre-irrad_5_141031/MeasurementNo00057.xls', 'Pre-irrad_5_141031/MeasurementNo00250.xls']
       S5_Position10       0140_3R23 ['Pre-irrad_5_141031/MeasurementNo00058.xls', 'Pre-irrad_5_141031/MeasurementNo00251.xls']
       S5_Position11       0142_3R33 ['Pre-irrad_5_141031/MeasurementNo00059.xls', 'Pre-irrad_5_141031/MeasurementNo00252.xls']
       S5_Position12       0140_4R23 ['Pre-irrad_5_141031/MeasurementNo00060.xls', 'Pre-irrad_5_141031/MeasurementNo00253.xls']
       S6_Position01       0142_4R33 ['Pre-irrad_5_141031/MeasurementNo00061.xls', 'Pre-irrad_5_141031/MeasurementNo00254.xls']
       S6_Position02       1000_1R34 ['Pre-irrad_5_141031/MeasurementNo00062.xls', 'Pre-irrad_5_141031/MeasurementNo00255.xls']
       S6_Position03       1002_1R35 ['Pre-irrad_5_141031/MeasurementNo00063.xls', 'Pre-irrad_5_141031/MeasurementNo00256.xls']
       S6_Position04       1000_2R34 ['Pre-irrad_5_141031/MeasurementNo00064.xls', 'Pre-irrad_5_141031/MeasurementNo00257.xls']
       S6_Position05       1002_2R35 ['Pre-irrad_5_141031/MeasurementNo00065.xls', 'Pre-irrad_5_141031/MeasurementNo00258.xls']
       S6_Position06           EMPTY ['Pre-irrad_5_141031/MeasurementNo00066.xls', 'Pre-irrad_5_141031/MeasurementNo00259.xls']
